timestamp,tc,internal
1772523421.592124,34.75,23.19
1772523422.599146,34.75,23.12
1772523423.606153,34.75,23.12
1772523424.613172,34.5,23.12
1772523425.62012,34.75,23.19
1772523426.627131,34.75,23.19
1772523427.633237,34.75,23.12
1772523428.640158,34.75,23.19
1772523429.647139,34.75,23.12
1772523430.654133,34.75,23.12
1772523431.661119,34.75,23.19
1772523432.667182,34.75,23.19
1772523433.6741881,34.75,23.19
1772523434.6811452,35.0,23.19
1772523435.6872141,35.0,23.19
1772523436.6941628,35.0,23.19
1772523437.700211,34.75,23.19
1772523438.70716,35.0,23.25
1772523439.71412,35.0,23.25
1772523440.720124,35.0,23.25
1772523441.7271261,35.0,23.19
1772523442.733228,35.0,23.19
1772523443.740288,35.0,23.25
1772523444.747186,35.0,23.19
1772523445.754116,35.0,23.25
1772523446.7601721,35.25,23.25
1772523447.766186,35.25,23.25
1772523448.77317,35.0,23.25
1772523449.779239,35.25,23.25
1772523450.786156,35.25,23.25
1772523451.7922182,35.25,23.25
1772523452.79915,35.25,23.25
1772523453.806184,35.25,23.25
1772523454.812211,35.25,23.25
1772523455.819284,35.25,23.25
1772523456.826217,35.25,23.25
1772523457.8332539,35.5,23.25
1772523458.840199,35.5,23.25
1772523459.846263,35.5,23.31
1772523460.853306,35.5,23.31
1772523461.860223,35.5,23.25
1772523462.867193,35.5,23.31
1772523463.8741708,35.5,23.31
1772523464.880276,35.5,23.31
1772523465.8871849,35.5,23.31
1772523466.8942668,35.5,23.31
1772523467.901191,35.5,23.31
1772523468.90816,35.5,23.31
1772523469.9152179,35.5,23.31
1772523470.9221828,35.5,23.31
1772523471.9283159,35.75,23.38
1772523472.935225,35.75,23.31
1772523473.942174,35.5,23.31
1772523474.9491699,35.75,23.38
1772523475.9552782,35.75,23.38
1772523476.9622111,35.75,23.38
1772523477.9692008,35.75,23.38
1772523478.97528,35.75,23.38
1772523479.982273,35.75,23.38
1772523480.98925,35.75,23.38
1772523481.996286,35.75,23.38
1772523483.0041769,36.0,23.38
1772523484.011188,36.0,23.38
1772523485.0172942,36.0,23.38
1772523486.0242538,35.75,23.38
1772523487.031289,35.75,23.38
1772523488.038177,36.0,23.38
1772523489.044218,36.0,23.38
1772523490.051302,35.75,23.38
1772523491.0583,35.5,23.44
1772523492.06618,36.0,23.38
1772523493.073194,36.0,23.38
1772523494.080256,36.0,23.38
1772523495.086308,36.0,23.38
1772523496.09424,36.25,23.44
1772523497.101342,36.25,23.44
1772523498.108259,36.25,23.44
1772523499.115336,36.25,23.44
1772523500.12321,36.25,23.44
1772523501.1302311,36.0,23.44
1772523502.137221,36.25,23.44
1772523503.144309,36.25,23.44
1772523504.1513019,36.25,23.44
1772523505.15921,36.0,23.44
1772523506.1663208,36.25,23.44
1772523507.174227,36.25,23.44
1772523508.1813672,36.25,23.44
1772523509.1892889,36.25,23.44
1772523510.196352,36.25,23.44
1772523511.204247,36.5,23.5
1772523512.2113369,36.5,23.5
1772523513.218352,36.5,23.5
1772523514.2262511,36.5,23.5
1772523515.233243,36.5,23.44
1772523516.241205,36.5,23.5
1772523517.2482219,36.5,23.5
1772523518.2562392,36.5,23.5
1772523519.263354,36.75,23.5
1772523520.271286,36.75,23.5
1772523521.27835,36.75,23.56
1772523522.2862442,36.5,23.5
1772523523.293268,36.75,23.56
1772523524.300363,36.75,23.56
1772523525.3083122,36.75,23.56
1772523526.316263,36.75,23.5
1772523527.32424,36.75,23.5
1772523528.3313222,36.75,23.56
1772523529.339264,36.75,23.56
1772523530.346396,36.75,23.56
1772523531.354269,37.0,23.56
1772523532.361313,37.0,23.56
1772523533.3692899,37.0,23.56
